Source,Target
39804081,1294671590
136199984,1283280774
154526488,1294671590
204730241,1294671590
27804330,196272386
899635006,1294671590
39804081,154526488
277688954,1294671590
39804081,204730241
19894307,1294671590
136199984,1288882113
21491767,1294671590
134560555,1294671590
136199984,1316535847
28166907,1335113835
19820366,126520041
58610484,201448701
15057530,1294671590
95457486,148283060
56590836,165779595
24354313,151201029
7877124,39343248
899635006,2738703131
31746571,129604602
277688954,2738703131
913958620,2801952686
63966007,136199984
75027704,1289243028
19894307,154526488
21491767,154526488
98251732,185261750
45129253,183935753
59553526,1327163397
7877124,75951250
205783295,1334819555
74801974,161296585
35440088,202697423
28166907,123387679
24943067,157773358
74801974,201537933
97018004,136199984
19820366,183067930
39804081,277688954
136199984,1344073410
79576946,136199984
97018004,180670191
32971472,136199984
5023651,185261750
39804081,2738703131
27837315,136199984
145311948,1299303238
8204097,62916508
19820366,157773358
861853513,4210153126
58956616,1316902750
19880235,1313323035
24943067,183067930
71999127,123044942
19820366,194450716
16733864,148366613
95457486,180670191
79576946,145311948
74801974,114531698
78577930,136199984
31746571,165779595
39422238,157725225
241749,1294671590
848706,139264467
78577930,2799503643
39804081,102197404
20231570,200296433
40120149,1294671590
36258959,136199984
27837315,201448701
47508984,183935753
28166907,161593684
7877124,223822909
18014758,141945490
848706,193775966
20231570,183519381
56590836,165143802
56590836,129604602
99043593,129604602
45129253,166337079
28166907,187531555
19820366,1294671590
45129253,1294671590
96673099,124055696
97018004,201448701
27837315,145311948
74801974,146399215
136199984,1299303238
22299242,201537933
181547552,1343551460
56590836,149704539
39804081,100532134
8204097,223822909
74801974,205349734
66946132,1306266525
45129253,4210089966
35440088,1294671590
68618741,151201029
63966007,4210087915
74801974,135598925
79576946,201448701
19820366,154099455
36258959,161318765
40347166,1282105669
919571938,1343551460
40120149,183935753
34352273,145872427
97018004,161318765
27804330,136199984
98285908,201537933
5023651,141945490
47508984,1294671590
36234482,1294671590
36258959,180670191
79576946,180670191
78577930,205783295
99464096,149213910
31746571,165143802
45129253,154526488
98704320,136199984
70931966,185261750
97018004,145311948
45129253,136199984
4432739,184942183
78577930,145311948
5124864,1294671590
9360294,4210153126
26092322,157614274
97018004,1344073410
74973139,170201317
5124864,35440088
36258959,201448701
74801974,203951103
40120149,136199984
98251732,141945490
19820366,113940042
27837315,180670191
31746571,118347636
74801974,1294671590
17974374,110200422
28166907,102134673
9360294,138689650
68618741,4210153126
97565354,114457229
28407311,146655781
40347166,111979921
95457486,1294671590
22299242,135598925
887064364,3018483916
36258959,145311948
27837315,161318765
40347166,136199984
17974374,122140584
45129253,124357947
98251732,153718931
32597200,149213910
145311948,1283280774
63966007,1283280774
45129253,146655781
79576946,4210087915
28166907,133731052
32971472,145311948
31746571,114017466
19820366,162868743
39422238,111979921
16391192,124227911
46247651,185261750
57206974,136199984
22299242,205349734
3923682,19820366
5681781,165779595
27837315,170201317
98251732,125749732
21491767,204730241
19820366,177725633
20231570,157773358
241749,183935753
180670191,1344073410
95457486,122411786
79576946,170201317
99464096,1294671590
16609230,139660479
32971472,1344073410
4575257,139264467
60134161,201537933
180670191,1283280774
86987016,161593684
78577930,201448701
95457486,161318765
84218800,180670191
7877124,159176309
66946132,1321296531
25217355,189158943
73613424,146399215
68618741,4210155236
27837315,111979921
861853513,1294671590
223822909,1294671590
848706,197347611
45129253,185261750
63634437,121748325
5023651,153718931
241749,136199984
98677209,1294671590
132053463,1294671590
27837315,185443292
136199984,1334819555
150468666,1289490764
5023651,43406934
27837315,114027177
28166907,136199984
201448701,1299303238
98285908,135598925
62916508,223822909
57206974,2799503643
45084792,108290504
32971472,201448701
55143463,4210153126
7877124,2802164966
86987016,123387679
47508984,154526488
97018004,205783295
157674565,1294671590
32971472,180670191
79576946,150468666
24943067,116953780
97018004,4210087915
63966007,1344073410
27837315,205783295
79576946,170897317
136199984,1294671590
138689650,1294671590
83816512,4210153126
136199984,1343551460
99065089,125839683
36234482,204730241
28166907,154526488
79576946,1299303238
79576946,111979921
19820366,191208505
19820366,168719708
95457486,136199984
9360294,861853513
19820366,125839683
79576946,161318765
201448701,1344073410
9360294,1294671590
97018004,185261750
97018004,170897317
71267560,4210155236
56590836,177877127
74801974,113306721
46247651,141945490
27837315,204465549
80281795,154130895
28407311,1294671590
45129253,204730241
55143463,189158943
21370196,200777214
79576946,204465549
47508984,136199984
17974374,130442723
201448701,1283280774
19820366,116953780
90267481,187531555
79576946,205783295
887064364,2800006345
99065089,889458895
32389192,145311948
79576946,185261750
27837315,1294671590
27837315,135310074
71999127,1294671590
27837315,170897317
17974374,1294671590
138006243,1294671590
40120149,146655781
185261750,1294671590
8204097,1294671590
8087733,223822909
74801974,150744194
97018004,1283280774
899635006,4210145102
78577930,180670191
165143802,1292875679
63966007,1294671590
27837315,130238516
44260953,223822909
20231570,183067930
76134821,129774422
78650965,223822909
19820366,139660479
27837315,223532165
79576946,1283280774
40120149,185261750
47508984,166337079
97018004,111979921
97018004,1294671590
32389192,136199984
40120149,154526488
70931966,141945490
5681781,56590836
27837315,150468666
95457486,201448701
97018004,150468666
27837315,138006243
27837315,1299303238
98251732,168635309
7877124,34809795
95457486,1344073410
84218800,161318765
24185976,150229711
34809795,223822909
887064364,2802934949
78577930,161318765
27837315,165690674
9360294,189158943
32971472,1283280774
187531555,1335113835
27837315,1283280774
27837315,185261750
74801974,159385669
5681781,129604602
76903346,182534213
22299242,114531698
5023651,136199984
22299242,146399215
52357470,145311948
76130692,183067930
79576946,114027177
19880235,1294671590
28407311,183935753
27837315,200719446
887064364,2801952686
99542240,126596746
47508984,4210089966
32597200,1294671590
90267481,123387679
52357470,136199984
34352273,2802934949
5023651,154425047
32971472,161318765
99464096,145872427
151201029,1294671590
90610280,157773358
76903346,141596103
180670191,1299303238
97018004,204465549
5023651,168635309
98251732,154425047
136199984,1330342723
95674353,1294671590
39804081,134560555
8204097,159176309
9224756,19820366
97018004,223532165
7882870,45129253
40120149,142263535
8204097,44260953
70931966,1294671590
60134161,135598925
28407311,130828816
70931966,153718931
43406934,185261750
56590836,118347636
20089843,1294671590
5023651,1294671590
55143463,138689650
78577930,1294671590
32971472,150468666
19820366,150229711
34352273,3018483916
71267560,4210153126
161318765,1294671590
21250087,1294671590
5681781,165143802
40347166,145311948
66946132,1294671590
32389192,150468666
205783295,1343551460
39804081,2279609970
46247651,154425047
33213144,136199984
129604602,1292875679
40120149,165779595
4575257,193775966
45129253,165779595
57206974,145311948
17974374,150729083
45129253,142263535
7882870,40120149
45129253,130828816
32389192,180670191
63966007,122411786
184942183,1294671590
98285908,205349734
99542240,1294671590
202697423,1294671590
63966007,111088046
33213144,145311948
73613424,201537933
66946132,145311948
19820366,130701444
32971472,205783295
99065089,126520041
40120149,204730241
40120149,166337079
32971472,170897317
35440088,118564535
45084792,4210153126
9617848,71999127
1850255,118564535
68618741,138689650
8204097,2802164966
45129253,223822909
28166907,183935753
36258959,204250578
97018004,170201317
46247651,168635309
79576946,2799853436
7882870,181647926
170201317,1299303238
99464096,154526488
861853513,4210155236
32971472,170201317
188538660,1321296531
141945490,1294671590
63634437,1294671590
45129253,129604602
36258959,1344073410
36258959,1294671590
887064364,1294671590
97018004,114027177
5124864,114457229
40120149,129604602
141596103,1294671590
848706,4575257
22299242,113306721
241749,165779595
205783295,1294671590
79576946,165690674
95457486,1306266525
188538660,1294671590
133731052,1294671590
40347166,201448701
93860229,189158943
9360294,45084792
36258959,111979921
32971472,185261750
45129253,145311948
52357470,201448701
98704320,205783295
58956616,136199984
136199984,1316902750
9360294,108290504
98285908,146399215
145311948,1294671590
45129253,124055696
145311948,1316902750
40120149,130828816
84218800,201448701
57206974,205783295
241749,154526488
31746571,204824540
13469542,132053463
40120149,223822909
55732556,138006243
79576946,223532165
27837315,1343551460
52357470,135310074
79576946,200719446
161593684,1294671590
145311948,1344073410
97018004,135310074
32389192,201448701
169381384,1294671590
68618741,189158943
867280407,1344073410
97018004,148283060
60134161,205349734
78577930,170201317
51556381,145311948
165779595,1292875679
97565354,1294671590
9360294,68618741
180670191,1343551460
88273585,181391015
97018004,130238516
28166907,124055696
9360294,55143463
98704320,145311948
148283060,1294671590
7877124,44260953
47508984,146655781
40120149,145311948
43406934,141945490
241749,185261750
4104125,17974374
145311948,1343551460
98704320,4210087915
31746571,177877127
45129253,145872427
7877124,114090438
55769427,136199984
97565354,118564535
180670191,1334819555
78577930,102322142
91807558,148366613
78577930,185261750
189158943,1294671590
187531555,1294671590
24185976,200296433
31746571,1292875679
97018004,141945490
177877127,1292875679
36258959,114027177
32625721,154425047
66946132,126744593
99065089,183067930
90267481,881427289
84218800,148283060
45084792,138689650
241749,223822909
78577930,111979921
145872427,1294671590
84218800,136199984
98251732,204722609
98285908,114531698
74775410,181547552
32389192,114027177
79576946,130238516
7877124,154526488
27837315,111088046
40120149,124055696
5681781,31746571
43439940,1294671590
36258959,204465549
84218800,205783295
185261750,1283280774
148283060,1282311441
19894307,100532134
201448701,1294671590
20231570,1294671590
95457486,1282311441
78577930,114027177
159176309,1294671590
68618741,1294671590
36258959,130238516
28166907,184942183
22299242,1294671590
47720641,157773358
97018004,921990950
27837315,130769515
97018004,1299303238
145311948,1330342723
5023651,154526488
188538660,1306266525
34809795,159176309
55769427,219193219
98677209,146655781
4575257,197347611
78577930,4210087915
79576946,2799503643
241749,166337079
36258959,185261750
45084792,1294671590
20089843,122411786
21491767,100532134
52357470,170201317
98704320,180670191
78577930,170897317
47508984,223822909
79576946,1343551460
83816512,189158943
36258959,1283280774
32971472,1294671590
84218800,1282311441
193662353,1294671590
98251732,129902397
57206974,201448701
97018004,181547552
79576946,181547552
17974374,136199984
161318765,1283280774
8961855,1294671590
27804330,145311948
70931966,154526488
97018004,1343551460
32971472,111088046
99464096,887064364
16097986,1294671590
52357470,1294671590
79576946,111088046
47251452,145311948
95457486,188538660
5681781,177877127
40120149,201448701
145311948,1334819555
91136226,130828816
881427289,1335113835
79576946,135310074
45129253,153648349
52357470,114027177
36258959,135310074
129774422,1294671590
95457486,205783295
40347166,135310074
56590836,205640436
32971472,196272386
32971472,114027177
62916508,1294671590
47720641,196699116
205783295,1283280774
19820366,172675005
52357470,205783295
33213144,201448701
19820366,165932596
45129253,4210153126
79576946,1334819555
45084792,189158943
27837315,157725225
47508984,204730241
150468666,1299303238
28166907,223822909
170201317,1283280774
129604602,1294671590
69552723,192619145
5023651,129902397
36258959,170201317
98677209,183935753
33213144,205783295
95457486,157725225
241749,204730241
79576946,138006243
45129253,3018483916
79576946,102322142
8204097,34809795
204337017,1294671590
921990950,4210087915
4104125,130442723
63966007,161318765
33213144,130238516
51556381,136199984
79619799,1294671590
47251452,114027177
45129253,4210097159
55143463,1294671590
58956616,145311948
8204097,136199984
78577930,1299303238
90610280,889458895
55769427,4210119109
36258959,205783295
4654613,1294671590
241749,142263535
52357470,130238516
8204097,45129253
79619799,142263535
24943067,200296433
95457486,138006243
45084792,4210155236
32389192,170201317
34352273,2801952686
241749,130828816
95674353,132053463
40347166,180670191
78577930,150468666
98251732,151746483
40120149,145872427
22299242,203951103
8204097,197323543
34352273,2800006345
71267560,189158943
204465549,1343551460
84218800,145311948
40347166,1294671590
204465549,1283280774
241749,124055696
19820366,183519381
79576946,1316902750
867280407,4210087915
69737025,1294671590
68618741,108290504
57206974,180670191
180670191,1330342723
52357470,223532165
97565354,154526488
73613424,114531698
44260953,180923762
40120149,187531555
78577930,111088046
43406934,1294671590
47508984,4210145102
913958620,3018483916
36234482,183935753
52357470,161318765
150468666,1343551460
98285908,113306721
44260953,159176309
73613424,205349734
27804330,111088046
88273585,879563668
87216513,135310074
7877124,62916508
28407311,142263535
79576946,4210117453
8204097,114090438
56590836,1292875679
99464096,157674565
95457486,145311948
36258959,150468666
5023651,125749732
98677209,195460627
45129253,138689650
97018004,122411786
97018004,165690674
74656192,223822909
150468666,1283280774
45129253,201448701
47508984,145311948
97018004,204250578
24185976,157773358
27837315,126307644
98704320,1283280774
40347166,205783295
7882870,47508984
95457486,135310074
19820366,158842170
135310074,1294671590
32971472,111979921
98704320,201448701
55769427,145311948
79576946,1288882113
62916508,159176309
52099693,130828816
148283060,1282105669
20231570,126520041
36258959,1299303238
79619799,146655781
34352273,169381384
45129253,189158943
34809795,2802164966
44260953,2802164966
52357470,204465549
99065089,200296433
47508984,200777214
55143463,177477856
20231570,154099455
157725225,1294671590
241749,146655781
180923762,1294671590
84218800,130238516
32971472,140172145
7877124,78650965
161318765,1299303238
78577930,204465549
8204097,135140700
40120149,141945490
39343248,223822909
25217355,138689650
27837315,1316902750
84218800,135310074
204465549,1299303238
52357470,111979921
161318765,1334627681
78577930,1344073410
43406934,153718931
32389192,223532165
98285908,203951103
867280407,1343551460
40347166,161318765
39804081,223822909
20089843,136199984
40347166,157725225
95457486,185261750
154526488,1283280774
78577930,223532165
99464096,204730241
97565354,202697423
78577930,135310074
98677209,136199984
138006243,1334627681
32625721,141945490
44461941,1343551460
40120149,157614274
63966007,205783295
97018004,111088046
71267560,138689650
45129253,141945490
165779595,1294671590
52357470,1343551460
190082696,1294671590
32389192,111979921
27837315,1330342723
19820366,136199984
33213144,135310074
79576946,1294671590
146655781,1294671590
241749,23923803
74801974,196349391
45129253,180670191
76130692,157773358
20231570,136199984
32971472,135310074
145311948,1289490764
97018004,157725225
47720641,183067930
99464096,132053463
32971472,1299303238
95457486,154570441
70931966,154425047
241749,122411786
33213144,1294671590
79619799,183935753
9360294,71267560
33213144,170201317
135140700,1294671590
97018004,867280407
154526488,1299303238
40347166,170201317
7877124,197323543
32971472,204465549
182534213,1294671590
170897317,1283280774
99065089,200769079
97018004,4210117453
130238516,1294671590
27837315,1334819555
66946132,122411786
40347166,170897317
94624287,145872427
5023651,46247651
7882870,1294671590
53964585,197251160
154570441,1294671590
7882870,146655781
44461941,181547552
27837315,181547552
86519309,1294671590
3923682,183067930
97018004,1334819555
241749,187531555
32625721,185261750
84218800,1294671590
95674353,157674565
47251452,201448701
39422238,136199984
45129253,133731052
201448701,1343551460
20089843,145311948
27804330,1283280774
201537933,1294671590
97018004,200719446
36258959,170897317
78577930,130238516
20089843,102322142
913958620,2800006345
32389192,204465549
60134161,146399215
98704320,129975664
40120149,3018483916
43439940,183935753
36258959,122411786
78577930,129975664
180670191,1316902750
40120149,153648349
79576946,1330342723
98358874,193662353
40120149,184942183
70931966,168635309
130828816,1294671590
921990950,1283280774
40120149,204337017
36258959,111088046
83816512,138689650
7882870,28407311
241749,129604602
913958620,2802934949
51556381,201448701
205640436,1292875679
8204097,161046081
40347166,185261750
52357470,130769515
78577930,1283280774
7877124,136199984
39804081,136199984
97018004,138006243
83816512,108290504
58956616,201448701
46247651,153718931
98677209,142263535
79817857,185261750
45129253,4210087915
98704320,150468666
96673099,204337017
83019370,145872427
39422238,145311948
52357470,157725225
887968799,1294671590
161318765,1344073410
95457486,204250578
170897317,1299303238
149213910,1294671590
23923803,1294671590
36258959,223532165
83519826,183067930
40347166,204465549
71999127,154526488
9360294,83816512
7882870,36234482
90267481,1335113835
201448701,1288882113
46247651,129902397
52357470,150468666
60134161,114531698
47720641,200296433
97018004,2799853436
8204097,154526488
79510175,183935753
8087733,44260953
9360294,25217355
39804081,114457229
39804081,185261750
16391192,136199984
34352273,193662353
99065089,162868743
56590836,1294671590
78577930,174216632
72951846,142606810
27837315,187531555
55143463,108290504
97018004,1316902750
45129253,187531555
95457486,130238516
20231570,177725633
47508984,165779595
39555362,1294671590
8204097,180923762
95457486,130769515
19894307,134560555
62916508,2802164966
98704320,1334819555
197323543,1294671590
98251732,136199984
45129253,202697423
99065089,204983213
52357470,138006243
56590836,185261750
32625721,168635309
20231570,125839683
40120149,1299303238
45129253,1299303238
